     	ε    	proc   	id    	(    	)    	{    	}    record  	;    	struct  	*    	=    	,    	int   	float  	bool   	char   	[    	num   	]    	if    	else   	do    	while  	call   	return  	Opens  	+    	real   	string  	||    	&&    	!    	true   	false  	<    	<=    	>    	>=    	==    	!=    	$    	P'    	P    	D    	A    	M    	T    	X    	C    	S    	MachedS 	OpenS  	L    	E    	G    	F    	B    	H    	I    	Relop  	Elist  
25    	--    	--    	--    	--    	s26   	--    	--    	--    	--    	--    	--    	--    	s384   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
26    	--    	--    	--    	--    	--    	s27   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
27    	--    	s21   	s271   	--    	--    	--    	r3    	s30   	--    	s65   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s96   	--    	s136   	--    	s338   	s344   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	28    	16    	--    	--    	35    	81    	--    	19    	90    	91    	110   	--    	--    	--    	--    	--    	--    	--    	--    	
28    	--    	--    	--    	--    	--    	--    	s29   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
29    	--    	r5    	r5    	--    	--    	--    	r5    	r5    	--    	r5    	--    	--    	--    	r5    	r5    	r5    	r5    	--    	--    	--    	r5    	--    	r5    	--    	r5    	r5    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
30    	--    	--    	s31   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
31    	--    	--    	--    	--    	--    	s32   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
32    	--    	s21   	s271   	--    	--    	--    	r3    	s30   	--    	s65   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s96   	--    	s136   	--    	s338   	s344   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	33    	16    	--    	--    	35    	81    	--    	19    	90    	91    	110   	--    	--    	--    	--    	--    	--    	--    	--    	
33    	--    	--    	--    	--    	--    	--    	s34   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
34    	--    	r6    	r6    	--    	--    	--    	r6    	r6    	--    	r6    	--    	--    	--    	r6    	r6    	r6    	r6    	--    	--    	--    	r6    	--    	r6    	--    	r6    	r6    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
35    	--    	--    	s36   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
36    	--    	--    	--    	--    	--    	--    	--    	--    	r12   	--    	--    	s39   	s42   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	37    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
37    	--    	--    	--    	--    	--    	--    	--    	--    	s38   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
38    	--    	r7    	r7    	--    	--    	--    	r7    	r7    	--    	r7    	--    	--    	--    	r7    	r7    	r7    	r7    	--    	--    	--    	r7    	--    	r7    	--    	r7    	r7    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
